Target;Input01;Input02;Input03;Input04;Input05;Input06;Input07;Input08
858,27;11,26;1059,60;622,13;52,92;57,35;11,47;52,41;2039,92
853,62;11,26;1059,60;619,75;53,68;56,97;11,39;52,68;2035,07
854,77;11,26;1060,13;626,13;53,48;56,50;11,30;52,93;2028,87
860,15;11,26;1059,87;619,38;53,47;56,02;11,20;53,15;2020,12
853,79;11,26;1060,13;619,25;53,32;55,61;11,12;53,13;2017,00
852,81;11,26;1060,13;621,13;53,88;55,28;11,06;52,88;2017,95
855,50;11,26;1059,74;614,12;53,39;55,06;11,01;52,42;2027,97
861,70;11,05;1060,00;618,50;53,52;54,92;10,98;51,88;2040,04
868,55;11,11;1059,87;627,62;54,48;54,86;10,97;51,28;2036,69
858,36;11,22;1060,13;614,75;53,41;54,88;10,98;50,67;2038,54
862,27;11,44;1060,27;621,00;55,34;54,97;10,99;50,12;2070,34
861,86;11,39;1060,13;620,63;55,98;55,13;11,03;49,71;2089,82
864,56;11,23;1059,74;624,63;56,09;55,33;11,07;49,39;2111,21
852,56;11,24;1059,60;623,62;54,96;55,57;11,11;49,16;2031,83
849,95;11,19;1060,13;615,50;54,89;55,82;11,16;49,02;1991,00
851,50;11,28;1059,87;621,87;54,86;56,09;11,22;48,93;2024,77
854,44;11,27;1060,27;623,38;56,85;56,34;11,27;48,90;2116,57
860,72;11,27;1060,00;624,75;55,98;56,53;11,31;48,87;2061,18
852,56;11,26;1060,00;624,12;54,18;56,70;11,34;48,84;2038,22
851,83;11,26;1060,27;627,00;53,03;56,95;11,39;48,82;1969,74
854,68;11,26;1060,40;618,75;54,20;57,21;11,44;48,83;2051,76
857,87;11,26;1060,00;616,25;53,43;57,50;11,50;48,85;2022,84
855,09;11,26;1059,74;624,87;54,63;57,76;11,55;48,91;2037,00
856,15;11,26;1059,87;628,88;53,71;57,97;11,59;48,97;2025,32
851,67;11,26;1060,40;621,63;50,93;58,20;11,64;49,05;1955,58
854,19;11,26;1060,66;623,62;53,70;58,45;11,69;49,17;2062,05
